iteration,opt,B,SB,L,I,BL,BI,SBL,SBI,SBLI
1,2604.16,908.641,1481.71,855.272,230,1471.75,916.535,1213.14,1456.56,1501.3
2,2604.16,2361.75,2422.14,2417.57,318,2480.89,2381.38,2196.76,2568.1,2476.66
3,2604.16,2365.65,2501.47,2601.68,460,2602.39,2389.34,2603.39,2601.68,2551.46
4,2604.16,2365.82,2501.47,2604.16,548,2604.16,2394.41,2604.16,2603.33,2581.87
5,2604.16,2379.36,2519.22,2604.16,636,2604.16,2401.9,2604.16,2604.16,2601.69
6,2604.16,2379.36,2528.15,2604.16,690,2604.16,2412.42,2604.16,2604.16,2601.69
7,2604.16,2379.36,2538.13,2604.16,736.994,2604.16,2414.7,2604.16,2604.16,2604.16
8,2604.16,2379.36,2545.99,2604.16,778,2604.16,2437.59,2604.16,2604.16,2604.16
9,2604.16,2379.36,2601.32,2604.16,805.177,2604.16,2437.77,2604.16,2604.16,2604.16
10,2604.16,2379.36,2601.32,2604.16,825,2604.16,2444.04,2604.16,2604.16,2604.16
11,2604.16,2379.36,2601.32,2604.16,865.135,2604.16,2457.63,2604.16,2604.16,2604.16
12,2604.16,2379.36,2601.32,2604.16,866,2604.16,2460.87,2604.16,2604.16,2604.16
13,2604.16,2379.36,2601.32,2604.16,920,2604.16,2470.63,2604.16,2604.16,2604.16
14,2604.16,2379.36,2601.32,2604.16,954,2604.16,2480.19,2604.16,2604.16,2604.16
15,2604.16,2379.36,2601.32,2604.16,1002.6,2604.16,2481.26,2604.16,2604.16,2604.16
16,2604.16,2379.36,2601.32,2604.16,1008,2604.16,2490.88,2604.16,2604.16,2604.16
17,2604.16,2379.36,2601.32,2604.16,1055,2604.16,2502.3,2604.16,2604.16,2604.16
18,2604.16,2379.36,2601.32,2604.16,1096,2604.16,2507.4,2604.16,2604.16,2604.16
19,2604.16,2379.36,2601.32,2604.16,1143,2604.16,2512.48,2604.16,2604.16,2604.16
20,2604.16,2379.36,2601.32,2604.16,1150,2604.16,2521.86,2604.16,2604.16,2604.16
21,2604.16,2379.36,2601.32,2604.16,1184,2604.16,2524.03,2604.16,2604.16,2604.16
22,2604.16,2379.36,2601.32,2604.16,1196.99,2604.16,2524.78,2604.16,2604.16,2604.16
23,2604.16,2379.36,2601.32,2604.16,1203.51,2604.16,2527.03,2604.16,2604.16,2604.16
24,2604.16,2379.36,2601.32,2604.16,1223.49,2604.16,2531.99,2604.16,2604.16,2604.16
25,2604.16,2379.36,2601.32,2604.16,1232.6,2604.16,2533.35,2604.16,2604.16,2604.16
26,2604.16,2379.36,2601.32,2604.16,1238,2604.16,2535.32,2604.16,2604.16,2604.16
27,2604.16,2379.36,2601.32,2604.16,1263.42,2604.16,2537.48,2604.16,2604.16,2604.16
28,2604.16,2379.36,2601.32,2604.16,1272,2604.16,2540.24,2604.16,2604.16,2604.16
29,2604.16,2379.36,2601.32,2604.16,1285,2604.16,2541.03,2604.16,2604.16,2604.16
30,2604.16,2379.36,2601.32,2604.16,1287.82,2604.16,2555.24,2604.16,2604.16,2604.16
31,2604.16,2379.36,2601.32,2604.16,1288.13,2604.16,2557.62,2604.16,2604.16,2604.16
32,2604.16,2379.36,2601.32,2604.16,1320.6,2604.16,2557.9,2604.16,2604.16,2604.16
33,2604.16,2379.36,2601.32,2604.16,1326,2604.16,2559.62,2604.16,2604.16,2604.16
34,2604.16,2379.36,2601.32,2604.16,1359.67,2604.16,2561.76,2604.16,2604.16,2604.16
35,2604.16,2379.36,2601.32,2604.16,1365.43,2604.16,2565.62,2604.16,2604.16,2604.16
36,2604.16,2379.36,2601.32,2604.16,1373,2604.16,2566.34,2604.16,2604.16,2604.16
37,2604.16,2379.36,2601.32,2604.16,1380,2604.16,2573.21,2604.16,2604.16,2604.16
38,2604.16,2379.36,2601.32,2604.16,1414,2604.16,2574.57,2604.16,2604.16,2604.16
39,2604.16,2379.36,2601.32,2604.16,1447.24,2604.16,2576.89,2604.16,2604.16,2604.16
40,2604.16,2379.36,2601.32,2604.16,1461,2604.16,2582.85,2604.16,2604.16,2604.16
41,2604.16,2379.36,2601.32,2604.16,1462.6,2604.16,2584.29,2604.16,2604.16,2604.16
42,2604.16,2379.36,2601.32,2604.16,1468,2604.16,2588.56,2604.16,2604.16,2604.16
43,2604.16,2379.36,2601.32,2604.16,1483.79,2604.16,2589.59,2604.16,2604.16,2604.16
44,2604.16,2379.36,2601.32,2604.16,1488.05,2604.16,2590.72,2604.16,2604.16,2604.16
45,2604.16,2379.36,2601.32,2604.16,1491.02,2604.16,2595.66,2604.16,2604.16,2604.16
46,2604.16,2379.36,2601.32,2604.16,1497.65,2604.16,2598.06,2604.16,2604.16,2604.16
47,2604.16,2379.36,2601.32,2604.16,1502,2604.16,2600.84,2604.16,2604.16,2604.16
48,2604.16,2379.36,2601.32,2604.16,1503.94,2604.16,2601.15,2604.16,2604.16,2604.16
49,2604.16,2379.36,2601.32,2604.16,1515,2604.16,2602.09,2604.16,2604.16,2604.16
50,2604.16,2379.36,2601.32,2604.16,1528.65,2604.16,2604.16,2604.16,2604.16,2604.16
51,2604.16,2379.36,2601.32,2604.16,1535.16,2604.16,2604.16,2604.16,2604.16,2604.16
52,2604.16,2379.36,2601.32,2604.16,1537.67,2604.16,2604.16,2604.16,2604.16,2604.16
53,2604.16,2379.36,2601.32,2604.16,1550.6,2604.16,2604.16,2604.16,2604.16,2604.16
54,2604.16,2379.36,2601.32,2604.16,1555.91,2604.16,2604.16,2604.16,2604.16,2604.16
55,2604.16,2379.36,2601.32,2604.16,1556,2604.16,2604.16,2604.16,2604.16,2604.16
56,2604.16,2379.36,2601.32,2604.16,1558.58,2604.16,2604.16,2604.16,2604.16,2604.16
57,2604.16,2379.36,2601.32,2604.16,1559.2,2604.16,2604.16,2604.16,2604.16,2604.16
58,2604.16,2379.36,2601.32,2604.16,1578.44,2604.16,2604.16,2604.16,2604.16,2604.16
59,2604.16,2379.36,2601.32,2604.16,1581.48,2604.16,2604.16,2604.16,2604.16,2604.16