iteration,LB,UB,UBl,UBr
1,2950.21,7355.85,6912.87,7798.82
2,4256,6896.28,6457.22,7335.33
3,5587.93,7554.23,7106.83,8001.62
4,6242.66,7172.56,6708.2,7636.93
5,6285.42,7375.37,6891.97,7858.78
6,6472.59,7486.65,7070.47,7902.83
7,6497.11,6690.19,6199.66,7180.73
8,6570.85,7951.17,7546.85,8355.49
9,6604.92,7349.45,6890.68,7808.23
10,6643.37,6896.71,6437.62,7355.79
11,6658.63,6847.62,6357.72,7337.52
12,6660.99,6495.99,5992.64,6999.33
13,6670.9,6782.86,6274.03,7291.7
14,6674.29,6733.55,6215.93,7251.17
15,6678.73,6916.28,6431.94,7400.62
16,6681.67,6960.92,6491.59,7430.25
17,6686.62,6426.03,5890.81,6961.26
18,6692.1,6294.98,5781.6,6808.36
19,6696.81,6654.28,6119.56,7189
20,6699.93,6574.86,6045.25,7104.47
21,6700.63,6659.78,6187.4,7132.15
22,6700.83,6835.71,6341.39,7330.03
23,6701.12,6364.51,5851.12,6877.89
24,6701.12,6386.82,5877.72,6895.92
25,6701.12,6692.99,6196.82,7189.16