iteration,B,SB,L,I,BI,BL,SBI,SBL,LI
1,3579.55,3774.86,2950.21,230,3459.29,3808.06,3675.66,3890.83,3113.15
2,6174.35,5211.78,4256,318,6182.67,5144.08,5183.67,5235.64,4118.5
3,6256.32,5538.81,5587.93,460,6269.07,5709.88,5471.91,5736.62,5496.39
4,6305.91,6502.14,6242.66,548,6329.69,6469.22,6390.43,6559.72,6244.16
5,6337.36,6604.75,6285.42,636,6351.39,6565.9,6634.3,6628.35,6348.24
6,6344.46,6661.38,6472.59,690,6361.49,6652.26,6682.27,6680.8,6505.86
7,6344.54,6661.42,6497.11,736.199,6364.31,6674.9,6688.05,6687.15,6542.13
8,6344.54,6661.42,6570.85,778,6366.49,6681.91,6695.39,6695.06,6583.68
9,6344.54,6661.42,6604.92,825,6372.55,6694.09,6698.78,6699.17,6623.53
10,6344.54,6663.32,6643.37,866,6383.12,6698.83,6700.72,6700.58,6633.46
11,6344.54,6667.27,6658.63,902.523,6393.64,6700.56,6701.12,6701,6654.64
12,6344.54,6667.27,6660.99,920,6395.07,6701.07,6701.12,6701,6660.67
13,6344.54,6667.27,6670.9,954,6402.18,6701.07,6701.12,6701,6666.91
14,6344.54,6667.27,6674.29,989.773,6402.11,6701.08,6701.12,6701,6671.16
15,6344.54,6667.27,6678.73,1002.6,6406.86,6701.08,6701.12,6701,6676.36
16,6344.54,6667.27,6681.67,1008,6415.76,6701.08,6701.12,6701,6691.17
17,6344.54,6667.27,6686.62,1055,6416.25,6701.08,6701.12,6701,6698.54
18,6344.54,6667.27,6692.1,1096,6420.48,6701.08,6701.12,6701,6699.65
19,6344.54,6667.27,6696.81,1143,6422.23,6701.08,6701.12,6701,6699.86
20,6344.54,6667.27,6699.93,1150,6423.94,6701.08,6701.12,6701,6701.15
21,6344.54,6667.27,6700.63,1184,6424.05,6701.08,6701.12,6701,6701.17
22,6344.54,6667.27,6700.83,1196.2,6426.21,6701.08,6701.12,6701,6701.17
23,6344.54,6667.27,6701.12,1202.72,6428.62,6701.08,6701.12,6701,6701.17
24,6344.54,6667.27,6701.12,1222.38,6429.51,6701.08,6701.12,6701,6701.17
25,6344.54,6667.27,6701.12,1232.6,6438.56,6701.08,6701.12,6701,6701.17